pKa,MinAbsPartialCharge,MaxPartialCharge,fr_COO2,fr_COO,SMR_VSA1,PEOE_VSA14,EState_VSA1,BCUT2D_MRLOW,VSA_EState3,fr_Ar_COO,TPSA,MinEStateIndex,fr_Al_OH,fr_phenol,fr_phenol_noOrthoHbond,VSA_EState4,fr_benzene,NumAromaticCarbocycles,NumAromaticRings,fr_C_O,fr_NH1,fr_Al_COO,BalabanJ,VSA_EState6,NumHDonors,VSA_EState5,PEOE_VSA13,NOCount,MolLogP,EState_VSA9
-7.15,0.2817918332046334,0.2940190750803351,0,0,17.89385790683697,0.0,15.041437907851224,-0.3844705737910707,10.155515400604688,0,97.51,-4.267882653061224,0,0,0,-0.2292592592592588,1,1,1,0,0,0,3.15526874357476,3.937638888888889,1,0.0,15.805513133717117,6,0.8414999999999999,4.552749873690364
-7.1,0.2817886408932109,0.2942685381228934,0,0,17.89385790683697,0.0,19.936921383369,-0.3846205300016797,10.209204459561604,0,97.51,-4.363287037037036,0,0,0,-0.3795138888888882,1,1,1,0,0,0,3.291324672397669,4.174189814814815,1,0.0,15.805513133717117,6,0.8414999999999999,4.552749873690364
-6.93,0.2817917221403376,0.4159539461281426,0,0,26.14179200104376,6.176298517443475,26.7533603436918,-0.137279348779671,0.0,0,54.37,-4.624305555555555,0,0,0,-1.1179398148148143,1,1,1,0,0,0,3.2867084524255605,2.8755092592592595,1,0.0,10.118126859033554,3,1.9521,4.552749873690364
-6.72,0.2817918760791081,0.294011781672695,0,0,12.9705468580193,0.0,10.118126859033554,0.4829312305133362,0.0,0,54.37,-4.040416666666665,0,0,0,0.0,1,1,1,0,0,0,3.2015159310664942,5.727222222222222,1,0.0,10.118126859033554,3,1.6958000000000002,4.552749873690364
-2.13,0.1955421886660915,0.2441476653810205,0,0,4.567099647791355,0.0,0.0,-0.7061067162747211,3.4440123456790124,0,3.88,1.0075,0,0,0,0.0,1,1,2,0,0,0,2.9077745072579826,10.332716049382716,1,0.0,0.0,1,1.953,0.0
-2.08,0.1438064411104841,0.1438064411104841,0,0,5.106527394840706,0.0,0.0,0.4791609254367884,18.827431972789118,0,56.91,0.0075,0,0,0,0.9006481481481483,1,1,2,0,0,0,2.8873020835132595,9.028077286470143,1,0.0075,0.0,3,1.8120800000000004,5.261891554738487
-2.0,0.2384201677127803,0.2384201677127803,0,0,5.106527394840706,0.0,0.0,0.4522567825457351,17.964074074074077,0,46.010000000000005,-0.011018518518518,0,0,0,0.0,1,1,2,0,0,0,2.9131611636048604,7.426851851851852,1,-0.011018518518518,0.0,3,1.3354,0.0
-1.8,0.2304018373525035,0.2304018373525035,0,0,5.106527394840706,0.0,0.0,0.4448985034659986,15.127592592592592,0,46.010000000000005,-0.0393518518518514,0,0,0,0.0,0,0,1,0,0,0,3.0214653097240864,3.078703703703704,1,-0.0393518518518514,0.0,3,0.1821999999999999,5.106527394840706
-1.7,0.4139862624668282,0.4139862624668282,0,0,14.674523620483566,5.879988336435371,0.0,-0.8971920488534412,9.426490614764424,0,33.34,0.0911399281935001,0,0,0,1.063197278911565,1,1,2,0,0,0,2.0270201157254752,14.92417217813051,1,0.0911399281935001,0.0,3,1.3085,4.8375885837366335
-1.7,0.2812256918671704,0.2812256918671704,0,0,14.860971715501186,0.0,4.923311048817671,-0.9045257946565172,18.65940665154951,0,67.25,-0.5277777777777777,0,0,0,-0.0367592592592587,0,0,1,0,0,0,3.003400684579818,2.4166666666666665,1,0.0,5.687386274683562,5,0.1195999999999999,5.20725302477729
-1.62,0.3297759924797221,0.3297759924797221,0,0,14.668068308589742,11.033401435232523,0.0,-0.8673463689642454,22.03148148148148,0,51.05,0.4478703703703706,0,0,0,1.8887037037037049,2,2,3,0,0,0,2.6661476433549485,13.875,1,0.0,11.033401435232523,4,1.1512,0.0
-1.44,0.0936616628021584,0.0936616628021584,0,0,0.0,0.0,0.0,1.2006678021643715,1.9250000000000005,0,12.89,0.767314814814815,0,0,0,1.0,1,1,2,0,0,0,2.828901215620696,11.908204837490551,1,0.0,0.0,1,2.5235000000000003,0.0
-1.42,0.1961007935734915,0.236204005200917,0,0,4.567099647791355,0.0,0.0,-0.7081091355313834,0.9791666666666669,0,3.88,0.9791666666666669,0,0,0,0.0,0,0,1,0,0,0,3.134861511345448,5.880123456790123,1,0.0,0.0,1,0.7997999999999998,0.0
-1.3,0.4139521083226023,0.4139521083226023,0,0,14.674523620483564,5.879988336435371,0.0,-0.8874395542193753,8.948472222222222,0,33.34,0.0972222222222225,0,0,0,0.0,0,0,1,0,0,0,3.0065240073265844,5.039259259259259,1,0.0972222222222225,0.0,3,-0.2619000000000004,9.94411597857734
